,交易权属,产权年限,供暖方式,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总价,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,配备电梯,室,厅,厨,卫,西北,东,西,南,东南,东北,北,西南
1433,已购公房,70.0,集中供暖,骚子营,1991.0,板楼,混合结构,75.0,537.0,6.0,平层,满五年,普通住宅,非共有,133,0.3333333333333333,低楼层,颐和园,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
1434,已购公房,70.0,集中供暖,骚子营,1993.0,板楼,混合结构,60.91,416.0,6.0,平层,满五年,普通住宅,非共有,132,0.5,中楼层,颐和园,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
1435,商品房,70.0,集中供暖,骚子营,1985.0,板楼,混合结构,54.66,383.0,6.0,平层,满五年,普通住宅,非共有,187,0.5,高楼层,颐和园,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
1436,商品房,70.0,集中供暖,骚子营,1993.0,板楼,混合结构,61.4,463.0,6.0,平层,满五年,普通住宅,非共有,285,0.5,顶层,颐和园,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
1733,已购公房,70.0,集中供暖,德胜门西大街甲5号,1998.0,塔楼,钢混结构,53.4,408.0,12.0,平层,满五年,普通住宅,非共有,114,0.2,中楼层,新街口,海淀,其他,有,1,1,1,1,0,0,1,0,0,0,0,0
1734,商品房,70.0,集中供暖,德胜门西大街甲5号,1986.0,板楼,混合结构,55.5,453.0,6.0,平层,满五年,普通住宅,非共有,89,0.5,底层,新街口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
1735,商品房,70.0,集中供暖,德胜门西大街甲5号,1986.0,塔楼,钢混结构,62.7,500.0,16.0,平层,满五年,普通住宅,非共有,155,0.2857142857142857,高楼层,新街口,海淀,简装,有,2,1,1,1,0,0,0,0,0,1,0,0
1736,商品房,70.0,集中供暖,德胜门西大街甲5号,1985.0,塔楼,钢混结构,44.5,408.0,16.0,平层,满五年,普通住宅,非共有,208,0.2857142857142857,中楼层,新街口,海淀,精装,有,1,1,1,1,0,0,0,1,0,0,0,0
1737,商品房,70.0,集中供暖,德胜门西大街甲5号,1983.0,板楼,混合结构,53.3,445.0,6.0,平层,满五年,普通住宅,非共有,217,0.3333333333333333,高楼层,新街口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
1739,商品房,70.0,集中供暖,德胜门西大街甲5号,1986.0,塔楼,钢混结构,68.7,515.0,16.0,平层,满五年,普通住宅,非共有,166,0.2857142857142857,高楼层,新街口,海淀,简装,有,2,1,1,1,0,1,0,0,0,0,1,0
1740,商品房,70.0,集中供暖,德胜门西大街甲5号,1983.0,板楼,混合结构,54.8,430.0,6.0,平层,满五年,普通住宅,非共有,223,0.3333333333333333,中楼层,新街口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
1825,已购公房,70.0,集中供暖,大柳树9号院,1988.0,板楼,混合结构,54.0,500.0,6.0,平层,满五年,普通住宅,非共有,82,0.3333333333333333,中楼层,白石桥,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
1826,商品房,70.0,集中供暖,大柳树9号院,1988.0,板楼,混合结构,54.0,486.0,6.0,平层,满五年,普通住宅,非共有,178,0.3333333333333333,低楼层,白石桥,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
1835,已购公房,70.0,集中供暖,大柳树甲17号院,1988.0,板楼,砖混结构,38.4,332.8,5.0,平层,满五年,普通住宅,非共有,103,0.3333333333333333,中楼层,白石桥,海淀,简装,无,1,1,1,1,0,0,0,1,0,0,0,0
1857,已购公房,70.0,集中供暖,稻香园甲,1989.0,板楼,混合结构,56.27,610.0,6.0,平层,满五年,普通住宅,非共有,329,0.3333333333333333,中楼层,苏州桥,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
1858,已购公房,70.0,集中供暖,稻香园甲,1989.0,板楼,混合结构,53.47,510.0,6.0,平层,满五年,普通住宅,非共有,114,0.3333333333333333,底层,苏州桥,海淀,简装,无,3,0,1,1,0,0,0,1,0,0,1,0
1887,已购公房,70.0,集中供暖,电信宿舍,1989.0,板楼,混合结构,77.7,630.0,6.0,平层,满五年,普通住宅,非共有,58,0.5,中楼层,马甸,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
1889,商品房,70.0,集中供暖,电信宿舍,1981.0,板楼,混合结构,59.2,510.0,6.0,平层,满五年,普通住宅,非共有,255,0.5,高楼层,马甸,海淀,毛坯,无,3,1,1,1,0,0,1,1,0,0,1,0
1890,商品房,70.0,集中供暖,电信宿舍,1981.0,板楼,混合结构,66.52,539.0,6.0,平层,满五年,普通住宅,非共有,230,0.3333333333333333,低楼层,马甸,海淀,精装,无,3,1,1,1,0,0,0,1,0,0,1,0
1891,商品房,70.0,集中供暖,电信宿舍,1989.0,板楼,混合结构,54.9,514.3,6.0,平层,满两年,普通住宅,非共有,370,0.3333333333333333,底层,马甸,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
1918,商品房,70.0,集中供暖,恩济里小区,1995.0,板塔结合,钢混结构,66.68,600.0,15.0,平层,满五年,普通住宅,非共有,338,0.10526315789473684,低楼层,定慧寺,海淀,简装,有,2,1,1,1,0,0,0,1,0,0,1,0
1919,商品房,70.0,集中供暖,恩济里小区,1995.0,板楼,混合结构,72.5,695.0,6.0,平层,满五年,普通住宅,非共有,361,0.5,高楼层,定慧寺,海淀,其他,无,3,1,1,1,0,0,0,1,0,0,1,0
2220,商品房,70.0,集中供暖,工商大学东校区,1980.0,板楼,混合结构,42.9,500.0,6.0,平层,满两年,普通住宅,非共有,89,0.5,中楼层,甘家口,海淀,精装,无,1,1,1,1,0,0,0,1,0,0,1,0
2222,商品房,70.0,集中供暖,工商大学东校区,1980.0,板楼,混合结构,55.9,552.0,6.0,平层,满五年,普通住宅,非共有,143,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
2223,商品房,70.0,集中供暖,工商大学东校区,1981.0,板楼,混合结构,53.7,560.0,6.0,平层,满两年,普通住宅,非共有,172,0.3333333333333333,低楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
2225,商品房,70.0,集中供暖,工商大学东校区,1985.0,板楼,钢混结构,76.3,745.0,18.0,平层,满五年,普通住宅,非共有,307,0.25,高楼层,甘家口,海淀,简装,有,3,0,1,1,0,0,0,1,0,0,1,0
2226,商品房,70.0,集中供暖,工商大学东校区,2002.0,板楼,钢混结构,105.64,1100.0,15.0,平层,满五年,普通住宅,非共有,200,0.16666666666666666,高楼层,甘家口,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,1,0
2229,商品房,70.0,集中供暖,工商大学东校区,1980.0,板楼,混合结构,42.9,505.0,6.0,平层,满五年,普通住宅,非共有,229,0.5,底层,甘家口,海淀,精装,无,1,1,1,1,0,0,0,1,0,0,1,0
2230,商品房,70.0,集中供暖,工商大学东校区,2002.0,板楼,钢混结构,79.13,870.0,15.0,平层,满两年,普通住宅,非共有,296,0.16666666666666666,高楼层,甘家口,海淀,简装,有,2,1,1,1,0,0,0,1,0,0,0,0
2231,商品房,70.0,集中供暖,工商大学东校区,2002.0,板楼,钢混结构,106.88,1085.0,15.0,平层,满两年,普通住宅,共有,291,0.16666666666666666,低楼层,甘家口,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,0,0
2310,商品房,70.0,集中供暖,阜成路47号院,1993.7698001480385,板楼,混合结构,52.76,526.0,6.0,平层,满五年,普通住宅,非共有,49,0.3333333333333333,中楼层,定慧寺,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
2311,商品房,70.0,集中供暖,阜成路47号院,1988.0,板楼,混合结构,51.33,536.0,6.0,平层,满五年,普通住宅,非共有,382,0.3333333333333333,底层,定慧寺,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
2317,商品房,40.0,集中供暖,阜成路甲3号,1999.0,板楼,混合结构,60.65,515.0,6.0,平层,满五年,普通住宅,非共有,90,0.3333333333333333,低楼层,甘家口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
2318,商品房,70.0,集中供暖,阜成路甲3号,1999.0,板塔结合,钢混结构,64.97,617.0,9.0,平层,满两年,普通住宅,非共有,312,0.3333333333333333,高楼层,甘家口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
2439,私产,70.0,集中供暖,富海中心,2004.0,塔楼,钢混结构,148.36,1198.0,21.0,平层,满五年,普通住宅,非共有,116,0.375,高楼层,白石桥,海淀,简装,有,3,2,1,2,0,0,0,0,1,0,0,0
2442,商品房,70.0,自供暖,富海中心,2004.0,塔楼,钢混结构,73.35,630.0,21.0,平层,满五年,普通住宅,非共有,354,0.3,高楼层,白石桥,海淀,简装,有,1,1,1,1,0,0,0,0,1,0,1,0
2495,商品房,70.0,集中供暖,阜南小区,1978.0,板楼,混合结构,53.2,495.0,5.0,平层,满五年,普通住宅,非共有,145,0.25,底层,甘家口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
2496,央产房,70.0,集中供暖,阜南小区,1955.0,板楼,混合结构,63.89,480.0,4.0,平层,满五年,普通住宅,非共有,166,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
2498,商品房,70.0,集中供暖,阜南小区,1965.0,板楼,混合结构,62.25,515.0,5.0,平层,满两年,普通住宅,非共有,250,0.3333333333333333,中楼层,甘家口,海淀,精装,无,2,1,1,1,0,1,0,0,0,0,0,0
2501,商品房,70.0,集中供暖,阜南小区,1994.0,板楼,混合结构,34.5,215.0,6.0,平层,满五年,普通住宅,非共有,294,1.0,地下室,甘家口,海淀,简装,无,1,1,1,1,0,0,0,1,0,0,0,0
2502,商品房,70.0,集中供暖,阜南小区,2000.0,板楼,混合结构,105.32,980.0,6.0,平层,满五年,普通住宅,非共有,230,0.5,底层,甘家口,海淀,精装,无,3,1,1,1,0,0,0,1,0,0,1,0
2506,商品房,70.0,集中供暖,阜南小区,1965.0,板楼,混合结构,61.9,542.0,5.0,平层,满两年,普通住宅,非共有,332,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,2,0,0,0,1,0,0,0,0
2507,商品房,70.0,集中供暖,阜南小区,1978.0,板楼,混合结构,48.6,498.0,5.0,平层,满五年,普通住宅,共有,381,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
2509,已购公房,70.0,集中供暖,阜南小区,1974.0,板楼,混合结构,48.6,478.0,5.0,平层,满五年,普通住宅,非共有,393,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,1,0,0,0,0,0,0
2598,私产,70.0,集中供暖,枫润家园,2004.0,板楼,钢混结构,93.65,817.0,6.0,平层,满五年,普通住宅,非共有,133,0.5,高楼层,上地,海淀,其他,有,2,1,1,1,0,0,0,1,0,0,1,0
2628,商品房,70.0,集中供暖,富润家园,2000.0,塔楼,钢混结构,97.28,860.0,18.0,平层,满五年,普通住宅,非共有,269,0.2857142857142857,中楼层,学院路,海淀,精装,有,2,1,1,1,0,0,0,0,0,0,0,1
2629,商品房,70.0,集中供暖,富润家园,2003.0,板塔结合,钢混结构,96.48,780.0,27.0,平层,满五年,普通住宅,非共有,194,0.25,高楼层,学院路,海淀,简装,有,2,1,1,1,0,0,1,0,0,0,0,0
2630,商品房,70.0,集中供暖,富润家园,2003.0,板塔结合,钢混结构,152.0,1300.0,27.0,平层,满五年,普通住宅,非共有,179,0.4,高楼层,学院路,海淀,其他,有,4,2,1,2,0,0,0,0,1,0,0,0
2633,商品房,70.0,集中供暖,富润家园,2000.0,塔楼,钢混结构,90.28,700.0,18.0,平层,满五年,普通住宅,非共有,273,0.2,中楼层,学院路,海淀,简装,有,2,1,1,1,0,0,0,0,0,0,0,1
2635,商品房,70.0,集中供暖,富润家园,2002.0,板塔结合,钢混结构,152.5,1220.0,27.0,平层,满五年,普通住宅,非共有,380,0.4,低楼层,学院路,海淀,简装,有,4,1,1,2,0,0,0,0,1,0,0,0
2636,商品房,70.0,集中供暖,富润家园,2000.0,塔楼,钢混结构,90.28,790.0,18.0,平层,满五年,普通住宅,非共有,384,0.2,中楼层,学院路,海淀,其他,有,3,1,1,1,0,0,1,1,0,0,0,0
2883,商品房,70.0,集中供暖,高梁桥斜街乙40号院,2000.0,板塔结合,钢混结构,70.03,622.0,13.0,平层,满五年,普通住宅,非共有,51,0.25,顶层,西直门,海淀,精装,有,2,1,1,1,0,0,1,0,0,0,0,0
2884,商品房,70.0,集中供暖,高梁桥斜街乙40号院,1990.0,板楼,混合结构,63.0,508.0,6.0,平层,满五年,普通住宅,共有,202,0.3333333333333333,高楼层,西直门,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
2941,已购公房,40.0,集中供暖,高梁桥斜街丙40号院,1992.0,板塔结合,钢混结构,54.9,445.0,9.0,平层,满五年,普通住宅,非共有,128,0.0625,低楼层,西直门,海淀,其他,无,2,1,1,1,0,0,1,0,0,0,0,0
3212,私产,70.0,集中供暖,观山园,2004.0,板楼,钢混结构,165.36,1827.0,11.0,平层,满五年,普通住宅,非共有,107,0.5,低楼层,世纪城,海淀,精装,有,3,2,1,2,0,0,0,1,0,0,1,0
3214,商品房,70.0,集中供暖,观山园,2004.0,板楼,钢混结构,122.04,1385.0,11.0,平层,满两年,普通住宅,非共有,240,1.0,顶层,世纪城,海淀,简装,有,2,2,1,2,0,0,0,1,0,0,1,0
3215,商品房,70.0,集中供暖,观山园,2004.0,板楼,钢混结构,165.34,1910.0,11.0,平层,满两年,普通住宅,非共有,115,1.0,低楼层,世纪城,海淀,精装,有,3,2,1,2,0,0,0,1,0,0,1,0
3303,商品房,70.0,集中供暖,广通苑,1998.0,板楼,钢混结构,50.08,404.0,6.0,平层,满两年,普通住宅,非共有,66,0.5,低楼层,西直门,海淀,其他,无,1,1,1,1,0,1,0,0,0,0,0,0
3304,商品房,70.0,集中供暖,广通苑,1998.0,塔楼,钢混结构,88.8,650.0,18.0,平层,满五年,普通住宅,非共有,203,0.25,中楼层,西直门,海淀,精装,有,2,1,1,1,0,0,0,0,1,0,0,0
3417,商品房,70.0,集中供暖,华鸿家园,2008.0,板楼,钢混结构,96.09,598.0,6.0,复式,满五年,普通住宅,非共有,221,0.5,顶层,西三旗,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,1,0
3418,商品房,70.0,集中供暖,华鸿家园,2008.0,板楼,钢混结构,96.09,525.5,6.0,平层,满五年,普通住宅,非共有,375,0.5,低楼层,西三旗,海淀,精装,有,2,2,1,1,0,0,0,1,0,0,1,0
3420,商品房,70.0,集中供暖,华鸿家园,2007.0,板楼,钢混结构,97.29,513.8,6.0,平层,满五年,普通住宅,非共有,248,0.5,底层,西三旗,海淀,精装,有,2,2,1,1,0,0,0,1,0,0,1,0
3421,商品房,70.0,集中供暖,华鸿家园,2007.0,板楼,钢混结构,97.29,515.0,6.0,平层,满五年,普通住宅,非共有,271,0.5,底层,西三旗,海淀,精装,有,2,2,1,1,0,0,0,1,0,0,1,0
3422,商品房,70.0,集中供暖,华鸿家园,2008.0,板楼,钢混结构,96.1,570.0,6.0,平层,满五年,普通住宅,非共有,397,0.5,中楼层,西三旗,海淀,简装,有,2,2,1,1,0,0,0,1,0,0,1,0
3527,央产房,70.0,集中供暖,核二院,1990.0,板楼,砖混结构,56.3,590.0,6.0,平层,满五年,普通住宅,非共有,31,0.5,中楼层,定慧寺,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
3528,央产房,70.0,集中供暖,核二院,1986.0,板楼,混合结构,70.1,700.0,5.0,平层,满五年,普通住宅,非共有,41,0.3333333333333333,中楼层,定慧寺,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,0,0
3529,央产房,70.0,集中供暖,核二院,1990.0,板楼,混合结构,46.1,472.0,6.0,平层,满五年,普通住宅,非共有,244,0.3333333333333333,中楼层,定慧寺,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
3530,央产房,70.0,集中供暖,核二院,1990.0,板楼,砖混结构,56.9,580.0,5.0,平层,满五年,普通住宅,非共有,59,0.3333333333333333,中楼层,定慧寺,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3531,央产房,70.0,集中供暖,核二院,1990.0,板楼,混合结构,69.9,690.0,5.0,平层,满两年,普通住宅,非共有,327,0.3333333333333333,中楼层,定慧寺,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
3532,央产房,70.0,集中供暖,核二院,1990.0,板楼,混合结构,41.6,468.0,5.0,平层,满五年,普通住宅,非共有,108,0.3333333333333333,底层,定慧寺,海淀,毛坯,无,2,0,1,1,0,0,0,1,0,0,1,0
3533,央产房,70.0,集中供暖,核二院,1986.0,板楼,混合结构,59.9,552.0,6.0,平层,满五年,普通住宅,非共有,115,0.3333333333333333,顶层,定慧寺,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
3534,央产房,70.0,集中供暖,核二院,1995.0,板楼,混合结构,87.3,863.0,7.0,平层,满五年,普通住宅,非共有,171,0.5,高楼层,定慧寺,海淀,精装,无,3,1,1,2,0,0,0,1,0,0,1,0
3535,央产房,70.0,集中供暖,核二院,1995.0,板楼,混合结构,87.8,863.0,7.0,平层,满五年,普通住宅,共有,171,0.5,中楼层,定慧寺,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
3536,央产房,70.0,集中供暖,核二院,1999.0,塔楼,钢混结构,80.2,730.0,18.0,平层,满五年,普通住宅,非共有,174,0.25,高楼层,定慧寺,海淀,简装,有,3,1,1,1,0,0,0,0,1,0,0,0
3537,商品房,40.0,集中供暖,核二院,1988.0,板楼,混合结构,58.3,610.0,6.0,平层,满五年,普通住宅,非共有,337,0.3333333333333333,低楼层,定慧寺,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
3538,商品房,70.0,集中供暖,核二院,1986.0,板楼,混合结构,59.9,650.0,6.0,平层,满五年,普通住宅,非共有,328,0.3333333333333333,中楼层,定慧寺,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3539,商品房,70.0,集中供暖,核二院,1995.0,板楼,混合结构,87.8,936.0,7.0,平层,满五年,普通住宅,非共有,363,0.5,中楼层,定慧寺,海淀,精装,无,3,1,1,1,0,0,0,1,0,0,1,0
3541,商品房,70.0,集中供暖,核二院,1994.0,板塔结合,钢混结构,62.9,133.0,15.0,平层,满五年,普通住宅,非共有,342,0.4,中楼层,定慧寺,海淀,其他,有,2,1,1,1,0,0,0,1,0,0,0,0
3543,商品房,70.0,集中供暖,核二院,1990.0,板楼,混合结构,41.1,538.0,5.0,平层,满五年,普通住宅,非共有,389,0.3333333333333333,中楼层,定慧寺,海淀,简装,无,2,0,0,0,0,0,0,1,0,0,0,0
3655,商品房,70.0,集中供暖,海淀大街44号,1992.0,板楼,混合结构,48.4,382.0,6.0,平层,满五年,普通住宅,非共有,55,0.3333333333333333,高楼层,苏州桥,海淀,简装,无,1,1,1,1,0,0,0,1,0,0,0,0
3706,商品房,70.0,集中供暖,红联村,1986.0,板楼,混合结构,55.4,461.6,6.0,平层,满五年,普通住宅,共有,229,0.3333333333333333,中楼层,新街口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
3708,商品房,70.0,集中供暖,红联村,1986.0,板楼,混合结构,42.5,332.0,6.0,平层,满五年,普通住宅,非共有,271,0.5,顶层,新街口,海淀,精装,无,1,1,1,1,0,0,0,1,0,0,1,0
3749,商品房,70.0,集中供暖,航南小区,2000.0,塔楼,钢混结构,110.16,915.0,18.0,平层,满两年,普通住宅,共有,203,0.3333333333333333,高楼层,知春路,海淀,精装,有,3,1,1,1,1,0,0,0,0,0,0,0
3750,二类经济适用房,70.0,集中供暖,航南小区,2000.0,塔楼,钢混结构,128.41,1140.0,18.0,平层,满五年,普通住宅,非共有,167,0.3333333333333333,中楼层,知春路,海淀,精装,有,3,1,1,1,0,0,0,0,0,0,0,1
3781,商品房,70.0,集中供暖,和韵佳园,2008.0,板楼,钢混结构,136.92,956.6,6.0,平层,满五年,普通住宅,非共有,123,0.5,中楼层,上地,海淀,其他,无,3,2,1,2,0,0,0,1,0,0,1,0
3834,商品房,70.0,集中供暖,花园路3号院,1990.0,塔楼,钢混结构,70.8,582.0,24.0,平层,满五年,普通住宅,共有,107,0.25,高楼层,牡丹园,海淀,精装,有,3,1,1,1,1,0,0,0,0,0,0,0
3835,已购公房,70.0,集中供暖,花园路3号院,1990.0,塔楼,钢混结构,52.7,476.0,24.0,平层,满五年,普通住宅,非共有,218,0.25,高楼层,牡丹园,海淀,简装,有,2,1,1,1,0,0,0,1,0,0,0,0
3836,已购公房,70.0,集中供暖,花园路3号院,2000.0,塔楼,钢混结构,88.07,750.0,24.0,平层,满五年,普通住宅,非共有,145,0.2,高楼层,牡丹园,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,0,0
3837,商品房,70.0,集中供暖,花园路3号院,2000.0,塔楼,钢混结构,92.01,778.0,24.0,平层,满五年,普通住宅,非共有,282,0.2,高楼层,牡丹园,海淀,精装,有,2,1,1,1,0,0,1,0,0,0,0,0
3838,商品房,70.0,集中供暖,花园路3号院,2000.0,塔楼,钢混结构,91.33,800.0,24.0,平层,满五年,普通住宅,非共有,346,0.2,中楼层,牡丹园,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,0,0
3839,商品房,70.0,集中供暖,花园路3号院,1990.0,塔楼,钢混结构,76.4,686.0,24.0,平层,满五年,普通住宅,非共有,348,0.25,中楼层,牡丹园,海淀,简装,有,3,1,1,1,0,0,0,0,0,0,0,1
3840,商品房,70.0,集中供暖,花园路3号院,2000.0,塔楼,钢混结构,118.76,773.0,24.0,平层,满五年,普通住宅,非共有,346,0.2,低楼层,牡丹园,海淀,简装,有,3,1,1,1,0,0,0,0,0,0,0,1
3906,商品房,70.0,集中供暖,309医院家属楼,1980.0,板楼,混合结构,54.16,380.0,6.0,平层,满两年,普通住宅,非共有,205,0.5,高楼层,海淀北部新区,海淀,简装,无,2,2,1,1,0,0,0,1,0,0,1,0
3909,商品房,70.0,集中供暖,北航家属院,1996.0,板楼,混合结构,33.62,331.0,6.0,平层,满两年,普通住宅,非共有,201,0.3333333333333333,低楼层,知春路,海淀,简装,无,1,1,0,1,0,0,0,1,0,0,0,0
3937,商品房,70.0,集中供暖,北土城西路167号院,1985.0,板楼,混合结构,61.1,488.0,6.0,平层,满五年,普通住宅,共有,119,0.3333333333333333,高楼层,牡丹园,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
3938,商品房,70.0,集中供暖,北土城西路167号院,1986.0,板楼,混合结构,80.1,715.0,6.0,平层,满五年,普通住宅,非共有,369,0.3333333333333333,低楼层,牡丹园,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
3939,商品房,70.0,集中供暖,北土城西路167号院,1986.0,板楼,混合结构,64.5,525.0,6.0,平层,满两年,普通住宅,非共有,308,0.3333333333333333,中楼层,牡丹园,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
3958,已购公房,70.0,集中供暖,北洼东里,1998.0,塔楼,钢混结构,85.47,650.0,18.0,平层,满五年,普通住宅,非共有,399,0.2222222222222222,高楼层,紫竹桥,海淀,简装,有,3,1,1,1,0,1,1,0,0,0,1,0
3959,商品房,70.0,集中供暖,北洼东里,1998.0,塔楼,钢混结构,52.71,420.0,18.0,平层,满两年,普通住宅,非共有,326,0.2222222222222222,中楼层,紫竹桥,海淀,精装,有,1,1,1,1,0,0,0,1,0,0,0,0
3960,商品房,70.0,集中供暖,北洼东里,1998.0,塔楼,钢混结构,66.84,550.0,18.0,平层,满两年,普通住宅,非共有,363,0.2222222222222222,中楼层,紫竹桥,海淀,简装,有,2,1,1,1,0,0,0,0,0,0,0,1
4008,商品房,70.0,集中供暖,北洼路46号院,1993.7698001480385,板楼,混合结构,67.97,595.0,6.0,平层,满五年,普通住宅,非共有,62,0.1111111111111111,中楼层,定慧寺,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
77,商品房,70.0,自供暖,前沙涧路7号院,2009.0,板楼,混合结构,84.75,302.0,6.0,平层,满五年,普通住宅,非共有,362,0.3333333333333333,中楼层,海淀其它,海淀,精装,无,2,1,1,1,0,1,1,0,0,0,0,0
108,二类经济适用房,69.72161172161172,集中供暖,北坞嘉园西里,1993.7698001480385,板楼,未知结构,85.22,588.0,6.0,平层,满五年,普通住宅,共有,349,0.5,底层,颐和园,海淀,简装,无,2,2,1,2,0,0,0,1,0,0,1,0
109,商品房,70.0,集中供暖,门头馨园南区,1993.7698001480385,板楼,未知结构,83.0,400.0,7.0,平层,满五年,普通住宅,非共有,280,0.3333333333333333,低楼层,西山,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
92,已购公房,70.0,集中供暖,法华寺小区,1994.0,塔楼,钢混结构,63.4,535.0,16.0,平层,满五年,普通住宅,非共有,186,0.125,中楼层,魏公村,海淀,简装,有,2,1,1,1,0,0,0,1,0,0,0,0
110,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,89.0,535.0,18.0,平层,满五年,普通住宅,非共有,283,0.5,低楼层,西三旗,海淀,其他,有,2,1,1,1,0,0,1,0,0,0,1,0
111,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,90.65,550.0,21.0,平层,满五年,普通住宅,非共有,282,0.5,低楼层,西三旗,海淀,其他,有,2,1,1,1,0,0,0,1,0,0,0,0
112,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,63.47,427.0,21.0,平层,满五年,普通住宅,共有,357,0.5,高楼层,西三旗,海淀,精装,有,1,1,1,1,0,1,0,0,0,0,1,0
113,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,89.2,593.0,18.0,平层,满两年,普通住宅,共有,304,0.6666666666666666,中楼层,西三旗,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,0,0
115,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,90.98,548.0,21.0,平层,满两年,普通住宅,非共有,391,0.5,低楼层,西三旗,海淀,精装,有,2,1,1,1,0,0,1,1,0,0,0,0
118,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,90.7,580.0,21.0,平层,满五年,普通住宅,非共有,367,0.5,高楼层,西三旗,海淀,精装,有,2,2,1,1,0,0,0,1,0,0,0,0
119,商品房,70.0,集中供暖,富力桃园C区,2009.0,板塔结合,钢混结构,85.95,630.0,18.0,平层,满五年,普通住宅,非共有,389,0.5,高楼层,西三旗,海淀,精装,有,2,1,1,1,0,1,0,1,0,0,0,0
471,央产房,70.0,集中供暖,复兴路甲65号,1990.0,板塔结合,钢混结构,80.7,755.0,12.0,平层,满两年,普通住宅,非共有,394,0.18181818181818182,中楼层,万寿路,海淀,简装,有,3,1,1,1,0,0,0,1,0,0,1,0
472,商品房,70.0,集中供暖,复兴路甲65号,1990.0,板塔结合,钢混结构,89.6,900.0,12.0,平层,满五年,普通住宅,非共有,286,0.18181818181818182,低楼层,万寿路,海淀,简装,有,3,1,1,1,0,0,0,1,0,0,1,0
500,央产房,40.0,集中供暖,复兴路乙4号院,1989.0,板楼,混合结构,79.3,932.0,6.0,平层,满五年,普通住宅,非共有,147,0.3333333333333333,中楼层,军博,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
