,东,东北,东南,交易权属,产权年限,供暖方式,北,南,卫,厅,厨,室,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,西,西北,西南,配备电梯,实际成交价,预测价,相对误差
53,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,瑞新里小区,2007.0,板楼,钢混结构,70.08,7.0,平层,满五年,普通住宅,非共有,349.0,0.5,顶层,定慧寺,海淀,精装,,1.0,,有,710.0,632.4035199370002,0.10929081699014061
54,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,1.0,小南庄甲26号院,1996.0,板楼,钢混结构,42.18,6.0,平层,满五年,普通住宅,非共有,142.0,0.5,低楼层,苏州桥,海淀,简装,,,,无,411.0,414.2964396877936,0.00802053452017913
55,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,农林科学院宿舍,1992.0,板楼,混合结构,43.9,4.0,平层,满五年,普通住宅,非共有,149.0,0.3333333333333333,中楼层,四季青,海淀,简装,,,,无,395.0,406.96687433153784,0.030295884383640097
56,1.0,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,厂洼西街10号院,1998.0,板楼,混合结构,80.4,6.0,平层,满五年,普通住宅,非共有,86.0,0.5,底层,厂洼,海淀,其他,1.0,,,无,673.0,632.5836861738156,0.06005395813697528
57,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,翠微北里,1983.0,板楼,混合结构,41.2,6.0,平层,满五年,普通住宅,非共有,96.0,0.3333333333333333,高楼层,公主坟,海淀,精装,,,,无,388.0,389.25695316546864,0.003239570014094444
58,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,陶瓷厂宿舍,1987.0,板楼,混合结构,56.9,5.0,平层,满五年,普通住宅,非共有,399.0,0.3333333333333333,底层,安宁庄,海淀,精装,,,,无,325.0,449.8833759814636,0.3842565414814264
59,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,永定路17号院,1994.0,板楼,混合结构,58.3,6.0,平层,满五年,普通住宅,非共有,317.0,0.5,高楼层,五棵松,海淀,简装,,,,无,398.0,430.05254556599334,0.0805340340854104
60,,,,已购公房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,3.0,北无宿舍,1985.0,板楼,混合结构,68.22,6.0,平层,满五年,普通住宅,非共有,109.0,0.5,高楼层,紫竹桥,海淀,简装,,,,无,588.0,665.8473663412271,0.132393480172155
61,,,,私产,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,枫润家园,2004.0,板楼,钢混结构,93.65,6.0,平层,满五年,普通住宅,非共有,133.0,0.5,高楼层,上地,海淀,其他,,,,有,817.0,627.7581623292696,0.2316301562677239
62,1.0,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,3.0,乔建里,1990.0,板楼,混合结构,72.8,6.0,平层,满五年,普通住宅,非共有,145.0,0.3333333333333333,中楼层,军博,海淀,简装,,,,无,500.0,573.9117227832942,0.14782344556658836
63,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,建材城东二里,2000.0,塔楼,钢混结构,68.79,22.0,平层,满五年,普通住宅,非共有,383.0,0.2,中楼层,西三旗,海淀,精装,1.0,,,有,408.0,418.41299795624025,0.02552205381431433
64,,,,商品房,70.0,自供暖,1.0,1.0,2.0,2.0,1.0,3.0,怡美家园,2001.0,板楼,钢混结构,142.22,9.0,平层,满两年,普通住宅,非共有,304.0,0.5,底层,上地,海淀,简装,,,,有,1053.0,968.4153770870507,0.08032727722027472
65,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,青云南区,1962.0,板楼,混合结构,72.7,5.0,平层,满五年,普通住宅,非共有,329.0,0.3333333333333333,中楼层,皂君庙,海淀,简装,,,,无,468.0,530.7681522624208,0.13411998346671114
66,,,1.0,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,铁道部宿舍,1998.0,板塔结合,钢混结构,76.84,14.0,平层,满五年,普通住宅,非共有,147.0,0.18181818181818182,高楼层,西直门,海淀,简装,,,,有,601.0,593.6070670021259,0.012301053241055142
67,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,复兴路63号,1990.0,板楼,钢混结构,56.7,9.0,平层,满五年,普通住宅,非共有,298.0,0.6666666666666666,顶层,万寿路,海淀,其他,,,,有,585.0,492.1655726024493,0.15869132888470208
68,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,加气混凝土厂宿舍,1984.0,板楼,混合结构,52.7,5.0,平层,满五年,普通住宅,非共有,55.0,0.3333333333333333,底层,清河,海淀,精装,,,,无,435.0,347.4489676814368,0.20126674096221428
69,,,,商品房,70.0,集中供暖,,1.0,1.0,,1.0,1.0,中湾国际,2007.0,塔楼,钢混结构,42.4,19.0,平层,满五年,公寓,非共有,182.0,0.17647058823529413,中楼层,苏州桥,海淀,精装,,,,有,390.0,396.83776796164034,0.017532738363180356
70,,,,商品房,70.0,集中供暖,1.0,1.0,2.0,2.0,1.0,2.0,观山园,2004.0,板楼,钢混结构,122.04,11.0,平层,满两年,普通住宅,非共有,240.0,1.0,顶层,世纪城,海淀,简装,,,,有,1385.0,1553.5146576349898,0.12167123294945113
71,,,1.0,已购公房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,乔建里,1990.0,板塔结合,钢混结构,59.2,20.0,平层,满五年,普通住宅,非共有,36.0,0.5,底层,军博,海淀,精装,,,,有,444.0,438.34556858774295,0.012735205883461833
